tick,coll,coll_factor
2018-09-12,2.71822935,1
2018-09-13,3.063223699,0
2018-09-14,3.210180306,0
2018-09-15,3.253250082,0
2018-09-16,3.233030435,0
2018-09-17,3.093033361,0
2018-09-18,2.985883757,0
2018-09-19,3.064878956,0
2018-09-20,3.082120006,0
2018-09-21,3.342075881,0
2018-09-22,3.469322815,0
2018-09-23,3.470595251,0
2018-09-24,3.370744175,0
2018-09-25,3.063402555,0
2018-09-26,3.104425698,0
2018-09-27,3.153341177,0
2018-09-28,3.251071355,0
2018-09-29,3.252522305,0
2018-09-30,3.336898178,0
2018-10-01,3.295339397,0
2018-10-02,3.246924034,0
2018-10-03,3.110057529,0
2018-10-04,3.141810582,0
2018-10-05,3.105451548,0
2018-10-06,3.154264002,0
2018-10-07,3.110921049,0
2018-10-08,3.134964093,0
2018-10-09,3.146414244,0
2018-10-10,3.089935585,0
2018-10-11,2.794633603,1
2018-10-12,2.744280201,1
2018-10-13,2.779850078,1
2018-10-14,2.787220958,1
2018-10-15,2.819255876,0
2018-10-16,2.842838404,0
2018-10-17,2.847287318,0
2018-10-18,2.816262439,0
2018-10-19,2.786631215,1
2018-10-20,2.816236931,0
2018-10-21,2.837694446,0
2018-10-22,2.814708467,0
2018-10-23,2.798518755,1
2018-10-24,2.816476785,0
2018-10-25,2.797007265,1
2018-10-26,2.797553103,1
2018-10-27,2.801464267,0
2018-10-28,2.813349662,0
2018-10-29,2.771006657,1
2018-10-30,2.712404224,1
2018-10-31,2.727465504,1
2018-11-01,2.737528775,1
2018-11-02,2.761909263,1
2018-11-03,2.764120811,1
2018-11-04,2.813465033,0
2018-11-05,2.880335616,0
2018-11-06,2.93090607,0
2018-11-07,3.054485509,0
2018-11-08,2.986234074,0
2018-11-09,2.935660411,0
2018-11-10,2.940618904,0
2018-11-11,2.934293443,0
2018-11-12,2.927378746,0
2018-11-13,2.882595492,0
2018-11-14,2.711825022,1
2018-11-15,2.532540884,1
2018-11-16,2.601070686,1
2018-11-17,2.533617424,1
2018-11-18,2.566825098,1
2018-11-19,2.428323916,2
2018-11-20,2.463115364,2
2018-11-21,2.617244815,1
2018-11-22,2.631302632,1
2018-11-23,2.432536881,2
2018-11-24,2.443982278,2
2018-11-25,2.464057779,2
2018-11-26,2.645755282,1
2018-11-27,2.557873858,1
2018-11-28,2.821190743,0
2018-11-29,2.867518914,0
2018-11-30,2.758939354,1
2018-12-01,2.773448159,1
2018-12-02,2.782389021,1
2018-12-03,2.655370181,1
2018-12-04,2.636111796,1
2018-12-05,2.561149821,1
2018-12-06,2.435794257,2
2018-12-07,2.472141291,2
2018-12-08,2.63486367,1
2018-12-09,2.713470401,1
2018-12-10,2.673183175,1
2018-12-11,2.594622251,1
2018-12-12,2.620959439,1
2018-12-13,2.608702878,1
2018-12-14,2.552290951,1
2018-12-15,2.516423025,1
2018-12-16,2.580839045,1
2018-12-17,2.656150013,1
2018-12-18,2.811785524,0
2018-12-19,3.053189154,0
2018-12-20,3.162904716,0
2018-12-21,3.266900999,0
2018-12-22,3.191371875,0
2018-12-23,3.60652656,0
2018-12-24,3.98405266,0
2018-12-25,3.479622641,0
2018-12-26,3.527450496,0
2018-12-27,3.34070786,0
2018-12-28,3.335498515,0
2018-12-29,3.704114121,0
2018-12-30,3.664080471,0
2018-12-31,3.621372023,0
2019-01-01,3.589575363,0
2019-01-02,3.916078085,0
2019-01-03,3.964923433,0
2019-01-04,4.009885624,0
2019-01-05,4.149390116,0
2019-01-06,3.997961884,0
2019-01-07,3.960220358,0
2019-01-08,3.849039339,0
2019-01-09,3.914630023,0
2019-01-10,3.480067023,0
2019-01-11,3.271701858,0
2019-01-12,3.261016306,0
2019-01-13,3.155080569,0
2019-01-14,3.176691369,0
2019-01-15,3.319830946,0
2019-01-16,3.19953922,0
2019-01-17,3.17916122,0
2019-01-18,3.183913938,0
2019-01-19,3.230919131,0
2019-01-20,3.159900945,0
2019-01-21,3.083209291,0
2019-01-22,3.088179976,0
2019-01-23,3.094705342,0
2019-01-24,3.045989586,0
2019-01-25,3.050439739,0
2019-01-26,3.050411515,0
2019-01-27,3.004900714,0
2019-01-28,2.804209857,0
2019-01-29,2.772551442,1
2019-01-30,2.818896593,0
2019-01-31,2.837556309,0
2019-02-01,2.784789438,1
2019-02-02,2.813266045,0
2019-02-03,2.849286531,0
2019-02-04,2.811740933,0
2019-02-05,2.807607663,0
2019-02-06,2.726750401,1
2019-02-07,2.770102913,1
2019-02-08,2.910653376,0
2019-02-09,3.133327925,0
2019-02-10,3.112167111,0
2019-02-11,3.175070382,0
2019-02-12,3.150201811,0
2019-02-13,3.190752329,0
2019-02-14,3.171066413,0
2019-02-15,3.162003027,0
2019-02-16,3.176899996,0
2019-02-17,3.258716372,0
2019-02-18,3.620333724,0
2019-02-19,3.760194629,0
2019-02-20,3.683580141,0
2019-02-21,3.655706787,0
2019-02-22,3.638381996,0
2019-02-23,3.684267627,0
2019-02-24,3.626339079,0
2019-02-25,3.257852758,0
2019-02-26,3.235760121,0
2019-02-27,3.228505889,0
2019-02-28,3.225263594,0
2019-03-01,3.213878305,0
2019-03-02,3.165239412,0
2019-03-03,3.150389539,0
2019-03-04,3.007523335,0
2019-03-05,3.081605211,0
2019-03-06,3.204612306,0
2019-03-07,3.214370277,0
2019-03-08,3.190896875,0
2019-03-09,3.190841452,0
2019-03-10,3.185018852,0
2019-03-11,3.131016937,0
2019-03-12,3.076367866,0
2019-03-13,3.077556876,0
2019-03-14,3.076515868,0
2019-03-15,3.135654741,0
2019-03-16,3.263672509,0
2019-03-17,3.21098095,0
2019-03-18,3.191263035,0
2019-03-19,3.184508322,0
2019-03-20,3.202826267,0
2019-03-21,3.225989957,0
2019-03-22,3.215122526,0
2019-03-23,3.264149359,0
2019-03-24,3.258095489,0
2019-03-25,3.285742091,0
2019-03-26,3.291127256,0
2019-03-27,3.388191847,0
2019-03-28,3.405855112,0
2019-03-29,3.419777221,0
2019-03-30,3.502733977,0
2019-03-31,3.467642404,0
2019-04-01,3.46716712,0
2019-04-02,3.815519759,0
2019-04-03,4.237506929,0
2019-04-04,3.927322236,0
2019-04-05,3.952318069,0
2019-04-06,3.983719971,0
2019-04-07,4.02498464,0
2019-04-08,4.294533607,0
2019-04-09,4.195034005,0
2019-04-10,4.238644349,0
2019-04-11,3.9730283,0
2019-04-12,3.893805513,0
2019-04-13,3.871552677,0
2019-04-14,3.844905817,0
2019-04-15,3.926128896,0
2019-04-16,3.919168432,0
2019-04-17,3.999088456,0
2019-04-18,4.121983447,0
2019-04-19,4.150667463,0
2019-04-20,4.175317027,0
2019-04-21,4.061935777,0
2019-04-22,4.072185863,0
2019-04-23,4.148724426,0
2019-04-24,3.959843647,0
2019-04-25,3.899131035,0
2019-04-26,3.653860487,0
2019-04-27,3.720009521,0
2019-04-28,3.745327057,0
2019-04-29,3.701402507,0
2019-04-30,3.775635942,0
2019-05-01,3.860953248,0
2019-05-02,3.838371637,0
2019-05-03,3.957421031,0
2019-05-04,3.935884908,0
2019-05-05,3.92319231,0
2019-05-06,4.019513192,0
2019-05-07,4.243910388,0
2019-05-08,4.069004081,0
2019-05-09,4.086347826,0
2019-05-10,4.140703426,0
2019-05-11,4.42253779,0
2019-05-12,4.502757661,0
2019-05-13,4.517258706,0
2019-05-14,4.776586699,0
2019-05-15,5.351739806,0
2019-05-16,5.915468607,0
2019-05-17,5.35651959,0
2019-05-18,5.307048049,0
2019-05-19,5.621650639,0
2019-05-20,5.527980441,0
2019-05-21,5.593901863,0
2019-05-22,5.537889568,0
2019-05-23,5.238698961,0
2019-05-24,5.393360589,0
2019-05-25,5.438145814,0
2019-05-26,5.495030999,0
2019-05-27,5.800887901,0
2019-05-28,5.676823616,0
2019-05-29,5.503597561,0
2019-05-30,5.603948138,0
2019-05-31,5.170617133,0
2019-06-01,5.374633458,0
2019-06-02,5.400143093,0
2019-06-03,5.247710355,0
2019-06-04,4.893705177,0
2019-06-05,4.87033923,0
2019-06-06,4.880175379,0
2019-06-07,4.97034607,0
2019-06-08,4.920230339,0
2019-06-09,4.744672288,0
2019-06-10,4.776198631,0
2019-06-11,4.870804138,0
2019-06-12,4.941111455,0
2019-06-13,5.146960432,0
2019-06-14,5.041002488,0
2019-06-15,5.223980763,0
2019-06-16,5.287370327,0
2019-06-17,5.273801092,0
2019-06-18,5.164851596,0
2019-06-19,5.113869785,0
2019-06-20,5.125303974,0
2019-06-21,5.439340719,0
2019-06-22,5.829732131,0
2019-06-23,5.869150994,0
2019-06-24,5.712800161,0
